Year,Month,mm
1986,04,98.82
1986,05,47.34
1986,06,66.26
1986,07,62.26
1986,08,46.6
1986,09,57.74
1986,10,52.79
1986,11,75.73
1986,12,44.92
1987,01,74.99
1987,02,102.05
1987,03,43.91
1987,04,43.89
1987,05,76.26
1987,06,65.98
1987,07,57.53
1987,08,50.54
1987,09,53.92
1987,10,126.95
1987,11,115.7
1987,12,59.05
1988,01,84.65
1988,02,52.85
1988,03,73.33
1988,04,63.63
1988,05,84.43
1988,06,72.39
1988,07,27.44
1988,08,46.97
1988,09,53.74
1988,10,82.39
1988,11,52.49
1988,12,58.19
1989,01,17.64
1989,02,48.68
1989,03,35.64
1989,04,126.75
1989,05,35.38
1989,06,64.28
1989,07,84.91
1989,08,57.6
1989,09,85.86
1989,10,44.94
1989,11,74.49
1989,12,46.63
1990,01,31.17
1990,02,31.49
1990,03,38.93
1990,04,108.85
1990,05,51.13
1990,06,53.29
1990,07,37.96
1990,08,45.58
1990,09,52.4
1990,10,137.16
1990,11,117.29
1990,12,101.67
1991,01,44.2
1991,02,56.5
1991,03,56.07
1991,04,80.13
1991,05,88.49
1991,06,50.66
1991,07,45.42
1991,08,25.31
1991,09,87.88
1991,10,112.85
1991,11,112.41
1991,12,29.87
1992,01,44.44
1992,02,22.83
1992,03,56.2
1992,04,79.91
1992,05,42.97
1992,06,92.57
1992,07,59.29
1992,08,40.6
1992,09,64.13
1992,10,166.6
1992,11,69.41
1992,12,95.94
1993,01,16.16
1993,02,30.07
1993,03,54
1993,04,65.88
1993,05,45.77
1993,06,43.71
1993,07,39.83
1993,08,38.65
1993,09,124.18
1993,10,149.04
1993,11,114.07
1993,12,67.29
1994,01,89.07
1994,02,55.33
1994,03,15.26
1994,04,92.01
1994,05,58.62
1994,06,56.55
1994,07,37.89
1994,08,47.99
1994,09,118.95
1994,10,76.13
1994,11,85.72
1994,12,57.91
1995,01,63.75
1995,02,58.84
1995,03,60.47
1995,04,67.77
1995,05,84.32
1995,06,72.06
1995,07,32.42
1995,08,74.66
1995,09,114.91
1995,10,29.27
1995,11,79.18
1995,12,111.69
1996,01,96.86
1996,02,74.54
1996,03,54.76
1996,04,70.87
1996,05,81.02
1996,06,57.16
1996,07,43.1
1996,08,87.79
1996,09,108.52
1996,10,119.03
1996,11,123.82
1996,12,112.73
1997,01,72.15
1997,02,25.11
1997,03,23.86
1997,04,60.26
1997,05,36.58
1997,06,89.64
1997,07,47.89
1997,08,53.14
1997,09,37.76
1997,10,68.9
1997,11,146.58
1997,12,108.12
1998,01,55.6
1998,02,34.21
1998,03,31.73
1998,04,92.23
1998,05,66.69
1998,06,51.76
1998,07,44.67
1998,08,46.78
1998,09,124.07
1998,10,116.33
1998,11,63.57
1998,12,57.2
1999,01,68.78
1999,02,46.23
1999,03,60.04
1999,04,77.41
1999,05,62.12
1999,06,61.33
1999,07,45.7
1999,08,59.39
1999,09,93.28
1999,10,95.51
1999,11,113.29
1999,12,72.61
2000,01,29.22
2000,02,29.87
2000,03,53.26
2000,04,74.01
2000,05,51.21
2000,06,49.12
2000,07,58.39
2000,08,39.25
2000,09,67.16
2000,10,128.91
2000,11,164.9
2000,12,89.84
2001,01,104.78
2001,02,43.25
2001,03,96.77
2001,04,70.07
2001,05,59.01
2001,06,53.84
2001,07,47.39
2001,08,37.49
2001,09,100.04
2001,10,44.03
2001,11,70.58
2001,12,42.09
2002,01,29.12
2002,02,62.24
2002,03,34.37
2002,04,76.46
2002,05,102.37
2002,06,52.68
2002,07,74.74
2002,08,108.15
2002,09,94
2002,10,85.4
2002,11,134.5
2002,12,97.37
2003,01,85.11
2003,02,32.44
2003,03,24.93
2003,04,60.82
2003,05,36.01
2003,06,40.62
2003,07,30.06
2003,08,31.88
2003,09,60.05
2003,10,110.26
2003,11,112.49
2003,12,92.04
2004,01,62.24
2004,02,74.27
2004,03,68.63
2004,04,80.5
2004,05,72.5
2004,06,47.58
2004,07,36.21
2004,08,46.05
2004,09,54.59
2004,10,103.7
2004,11,102.39
2004,12,105.79
2005,01,44.17
2005,02,52.08
2005,03,43.11
2005,04,81.35
2005,05,54.2
2005,06,30.43
2005,07,46.97
2005,08,78.46
2005,09,89.23
2005,10,106.78
2005,11,116.63
2005,12,95.81
2006,01,58.77
2006,02,57.25
2006,03,63.06
2006,04,56.14
2006,05,50.76
2006,06,36.66
2006,07,42.88
2006,08,86.83
2006,09,105.24
2006,10,48.28
2006,11,44.69
2006,12,79.19
2007,01,46.4
2007,02,65.19
2007,03,75.5
2007,04,27.44
2007,05,92.54
2007,06,60.21
2007,07,31.16
2007,08,59.79
2007,09,71.61
2007,10,72.41
2007,11,75.81
2007,12,58.54
2008,01,63.43
2008,02,33
2008,03,75.74
