Year,Month,TAS,TSMAX,TSMIN
1992,8,23.09,27.9,18.27
1992,9,18.3,22.94,13.75
1992,10,13.46,16.62,10.3
1992,11,10.04,13.59,6.73
1992,12,5.23,8.04,2.51
1993,1,4.11,7.87,0.8
1993,2,3.56,8.13,-0.46
1993,3,6.14,10.59,1.78
1993,4,10.85,14.84,6.8
1993,5,16.05,20.38,11.58
1993,6,19.76,24.09,15.13
1993,7,20.83,25.5,15.78
1993,8,22.7,27.68,17.72
1993,9,17.68,21.79,13.65
1993,10,13.99,17.37,10.73
1993,11,7.77,10.61,5.05
1993,12,6.1,9.42,2.98
1994,1,5.43,8.75,2.36
1994,2,4.62,8.08,1.29
1994,3,10.04,14.88,5.48
1994,4,10.04,13.77,6.17
1994,5,15.84,20.06,11.4
1994,6,19.07,23.44,14.46
1994,7,23.03,27.62,18.39
1994,8,23.72,28.62,18.84
1994,9,18.84,23.01,14.86
1994,10,13.54,17.58,9.82
1994,11,10.49,14.02,7.43
1994,12,6.1,9.44,3.11
1995,1,3.36,6.86,-0.05
1995,2,6.89,10.88,3.16
1995,3,6.51,10.52,2.41
1995,4,10.34,14.5,6.06
1995,5,14.76,18.87,10.47
1995,6,17.84,22,13.31
1995,7,23,27.42,18.44
1995,8,20.63,24.84,16.61
1995,9,16.48,20.48,12.53
1995,10,14.34,19.15,10.08
1995,11,8,11.48,4.62
1995,12,6.27,8.82,3.86
1996,1,5.42,8.06,2.92
1996,2,3.51,6.87,0.16
1996,3,6.21,9.59,2.79
1996,4,10.97,14.9,6.92
1996,5,15.38,19.31,11.18
1996,6,19.62,23.91,14.95
1996,7,20.91,25.19,16.32
1996,8,21.11,25.42,16.84
1996,9,15.61,19.5,11.85
1996,10,12.81,16.26,9.55
1996,11,9.42,12.74,6.25
1996,12,5.19,8.15,2.39
1997,1,5.31,8.63,2.48
1997,2,6.28,10.47,2.44
1997,3,8.95,13.73,4.31
1997,4,9.35,13.83,4.53
1997,5,16.06,20.62,11.17
1997,6,19.78,23.8,15.45
1997,7,21.18,25.71,16.33
1997,8,21.46,25.85,17.11
1997,9,19.08,23.86,14.57
1997,10,13.76,17.72,10.12
1997,11,9.26,12.23,6.44
1997,12,5.73,8.72,2.9
1998,1,4.91,8.33,1.85
1998,2,6.85,11.76,2.65
1998,3,7.26,11.63,2.83
1998,4,11.16,14.89,7.28
1998,5,15.53,19.65,11.14
1998,6,20.39,24.9,15.5
1998,7,22.97,27.6,17.91
1998,8,22.99,27.75,18.34
1998,9,17.82,21.95,13.82
1998,10,13.72,17.57,10.07
1998,11,7.25,10.6,4.05
